1,1,1
2,1,2
3,1,2
4,1,3
4,2,2
5,1,2
6,1,3
6,2,4
7,1,2
8,1,4
8,2,4
8,3,4
8,4,3
8,5,2
9,1,3
9,2,2
10,1,3
10,2,4
11,1,2
12,1,5
12,2,6
12,3,3
12,4,5
12,5,4
13,1,2
14,1,3
14,2,4
15,1,4
16,1,5
16,2,3
16,3,5
16,4,7
16,5,7
16,6,7
16,7,5
16,8,7
16,9,5
16,10,4
16,11,5
16,12,4
16,13,5
16,14,2
17,1,2
18,1,4
18,2,6
18,3,6
18,4,3
18,5,4
19,1,2
20,1,5
20,2,6
20,3,4
20,4,5
20,5,4
21,1,3
21,2,4
22,1,3
22,2,4
23,1,2
24,1,7
24,2,8
24,3,4
24,4,7
24,5,9
24,6,7
24,7,7
24,8,9
24,9,8
24,10,8
24,11,6
24,12,4
24,13,6
24,14,5
24,15,4
25,1,3
25,2,2
26,1,3
26,2,4
27,1,4
27,2,4
27,3,3
27,4,4
27,5,2
28,1,5
28,2,6
28,3,5
28,4,4
29,1,2
30,1,6
30,2,6
30,3,5
30,4,8
31,1,2
32,1,6
32,2,5
32,3,6
32,4,6
32,5,10
32,6,8
32,7,6
32,8,6
32,9,12
32,10,12
32,11,12
32,12,12
32,13,8
32,14,10
32,15,10
32,16,10
32,17,10
32,18,6
32,19,8
32,20,6
32,21,4
32,22,6
32,23,8
32,24,8
32,25,12
32,26,8
32,27,5
32,28,12
32,29,12
32,30,10
32,31,8
32,32,6
32,33,5
32,34,4
32,35,6
32,36,6
32,37,10
32,38,7
32,39,8
32,40,10
32,41,8
32,42,12
32,43,12
32,44,12
32,45,4
32,46,5
32,47,4
32,48,6
32,49,3
32,50,3
32,51,2
33,1,4
34,1,3
34,2,4
35,1,4
36,1,7
36,2,9
36,3,5
36,4,7
36,5,6
36,6,10
36,7,5
36,8,6
36,9,4
36,10,4
36,11,5
36,12,10
36,13,5
36,14,4
37,1,2
38,1,3
38,2,4
39,1,3
39,2,4
40,1,7
40,2,8
40,3,6
40,4,7
40,5,9
40,6,7
40,7,7
40,8,9
40,9,8
40,10,8
40,11,6
40,12,8
40,13,5
40,14,4
41,1,2
42,1,5
42,2,6
42,3,6
42,4,6
42,5,5
42,6,8
43,1,2
44,1,5
44,2,6
44,3,5
44,4,4
45,1,6
45,2,4
46,1,3
46,2,4
47,1,2
48,1,9
48,2,10
48,3,4
48,4,13
48,5,13
48,6,11
48,7,9
48,8,9
48,9,13
48,10,13
48,11,9
48,12,15
48,13,13
48,14,15
48,15,11
48,16,11
48,17,11
48,18,11
48,19,9
48,20,6
48,21,10
48,22,14
48,23,14
48,24,14
48,25,10
48,26,14
48,27,10
48,28,5
48,29,5
48,30,7
48,31,9
48,32,7
48,33,7
48,34,9
48,35,11
48,36,9
48,37,15
48,38,13
48,39,13
48,40,8
48,41,8
48,42,7
48,43,11
48,44,8
48,45,10
48,46,8
48,47,10
48,48,7
48,49,6
48,50,3
48,51,5
48,52,4
49,1,3
49,2,2
50,1,4
50,2,6
50,3,6
50,4,3
50,5,4
51,1,4
52,1,5
52,2,6
52,3,4
52,4,5
52,5,4
53,1,2
54,1,5
54,2,8
54,3,8
54,4,9
54,5,7
54,6,7
54,7,5
54,8,4
54,9,8
54,10,6
54,11,8
54,12,6
54,13,6
54,14,3
54,15,4
55,1,3
55,2,4
56,1,7
56,2,8
56,3,7
56,4,9
56,5,7
56,6,7
56,7,9
56,8,8
56,9,8
56,10,6
56,11,3
56,12,5
56,13,4
57,1,3
57,2,4
58,1,3
58,2,4
59,1,2
60,1,10
60,2,10
60,3,9
60,4,12
60,5,2
60,6,8
60,7,7
60,8,10
60,9,6
60,10,10
60,11,10
60,12,9
60,13,8
