function( n, i ) ... end
2418
1,1,1,0
2,1,2,0
3,1,3,0
4,1,4,0
4,2,4,0
5,1,5,0
6,1,6,0
6,2,6,0
7,1,7,1
8,1,8,0
8,2,8,0
8,3,8,0
8,4,8,0
8,5,8,0
9,1,9,0
9,2,9,0
10,1,10,1
10,2,10,0
11,1,11,0
12,1,12,0
12,2,12,1
12,3,36,0
12,4,12,0
12,5,12,0
13,1,13,0
14,1,14,0
14,2,14,0
15,1,15,0
16,1,16,1
16,2,16,1
16,3,16,1
16,4,16,1
16,5,16,1
16,6,16,0
16,7,16,0
16,8,16,0
16,9,16,0
16,10,16,0
16,11,16,0
16,12,16,0
16,13,16,0
16,14,16,1
17,1,17,0
18,1,18,1
18,2,18,1
18,3,18,1
18,4,18,0
18,5,18,0
19,1,19,1
20,1,20,0
20,2,20,0
20,3,40,0
20,4,20,0
20,5,20,0
21,1,21,1
21,2,21,1
22,1,22,1
22,2,22,1
23,1,23,1
24,1,24,1
24,2,24,0
24,3,72,1
24,4,24,1
24,5,24,0
24,6,24,0
24,7,24,0
24,8,24,1
24,9,24,1
24,10,24,1
24,11,24,1
24,12,48,0
24,13,72,1
24,14,24,0
24,15,24,0
25,1,25,1
25,2,25,1
26,1,26,1
26,2,26,0
27,1,27,1
27,2,27,1
27,3,27,1
27,4,27,1
27,5,27,1
28,1,28,1
28,2,28,1
28,3,28,1
28,4,28,1
29,1,29,1
30,1,30,1
30,2,30,0
30,3,30,1
30,4,30,0
31,1,31,1
32,1,32,2
32,2,32,1
32,3,32,1
32,4,32,2
32,5,32,2
32,6,32,1
32,7,32,2
32,8,32,1
32,9,32,2
32,10,32,1
32,11,32,1
32,12,32,1
32,13,32,1
32,14,32,1
32,15,32,1
32,16,32,1
32,17,32,1
32,18,32,1
32,19,32,0
32,20,32,1
32,21,32,1
32,22,32,1
32,23,32,1
32,24,32,1
32,25,32,1
32,26,32,1
32,27,32,1
32,28,32,1
32,29,32,1
32,30,32,1
32,31,32,1
32,32,32,1
32,33,32,1
32,34,32,1
32,35,32,1
32,36,32,1
32,37,32,1
32,38,32,1
32,39,32,1
32,40,32,1
32,41,32,1
32,42,32,1
32,43,32,1
32,44,32,1
32,45,32,1
32,46,32,1
32,47,32,1
32,48,32,1
32,49,32,1
32,50,32,1
32,51,32,1
33,1,33,1
34,1,34,1
34,2,34,1
35,1,35,1
36,1,36,1
36,2,36,2
36,3,108,2
36,4,36,2
36,5,36,1
36,6,36,1
36,7,36,1
36,8,36,5
36,9,36,1
36,10,36,1
36,11,108,1
36,12,36,1
36,13,36,1
36,14,36,1
37,1,37,2
38,1,38,1
38,2,38,2
39,1,39,1
39,2,39,2
40,1,40,2
40,2,40,2
40,3,80,2
40,4,40,1
40,5,40,1
40,6,40,2
40,7,40,2
40,8,40,2
40,9,40,2
40,10,40,2
40,11,40,1
40,12,80,2
40,13,40,2
40,14,40,2
41,1,41,2
42,1,42,2
42,2,42,1
42,3,42,2
42,4,42,3
42,5,42,2
42,6,42,2
43,1,43,1
44,1,44,2
44,2,44,2
44,3,44,2
44,4,44,2
45,1,45,2
45,2,45,3
46,1,46,2
46,2,46,2
47,1,47,2
48,1,48,3
48,2,48,2
48,3,144,2
48,4,48,3
48,5,48,0
48,6,48,3
48,7,48,3
48,8,48,2
48,9,48,6
48,10,48,3
48,11,48,2
48,12,48,3
48,13,48,3
48,14,48,3
48,15,48,3
48,16,48,3
48,17,48,3
48,18,48,3
48,19,48,3
48,20,48,2
48,21,48,2
48,22,48,3
48,23,48,2
48,24,48,2
48,25,48,3
48,26,48,2
48,27,48,2
48,28,96,2
48,29,96,3
48,30,96,3
48,31,144,2
48,32,144,3
48,33,144,3
48,34,48,2
48,35,48,2
48,36,48,3
48,37,48,3
48,38,48,3
48,39,48,3
48,40,48,2
48,41,48,3
48,42,48,2
48,43,48,2
48,44,48,2
48,45,48,2
48,46,48,2
48,47,48,2
48,48,96,3
48,49,144,3
48,50,528,3
48,51,48,2
48,52,48,2
49,1,49,3
49,2,49,2
50,1,50,2
50,2,50,2
50,3,50,2
50,4,50,3
50,5,50,2
51,1,51,2
52,1,52,2
52,2,52,2
52,3,52,3
52,4,52,2
52,5,52,2
53,1,53,2
54,1,54,3
54,2,54,3
54,3,54,6
54,4,54,3
54,5,54,4
54,6,54,3
54,7,54,3
54,8,54,3
54,9,54,3
54,10,54,3
54,11,54,3
54,12,54,4
54,13,54,3
54,14,54,3
54,15,54,4
55,1,165,3
55,2,55,3
56,1,56,3
56,2,56,3
56,3,56,3
56,4,56,5
56,5,56,3
56,6,56,3
56,7,56,3
56,8,56,2
56,9,56,3
56,10,56,3
56,11,56,4
56,12,56,3
56,13,56,2
57,1,57,4
57,2,57,3
58,1,58,3
58,2,58,3
59,1,59,2
60,1,60,3
60,2,60,6
60,3,60,3
60,4,60,3
60,5,180,0
60,6,120,4
60,7,120,3
60,8,60,3
60,9,180,4
60,10,60,4
60,11,60,3
60,12,60,3
60,13,60,3
3197
# Total time: 779 ms
